_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_
19069,2014,D22,Controlled Drugs and Substances Act,Other,3
19105,2014,D43,Controlled Drugs and Substances Act,Other,53
19611,2014,D12,Controlled Drugs and Substances Act,Other,24
19659,2014,D42,Controlled Drugs and Substances Act,Other,11
19770,2014,D11,Controlled Drugs and Substances Act,Other,20
19936,2014,D14,Controlled Drugs and Substances Act,Other,10
20407,2014,D55,Controlled Drugs and Substances Act,Other,5
20470,2014,D13,Controlled Drugs and Substances Act,Other,3
20881,2014,D53,Controlled Drugs and Substances Act,Other,10
21095,2014,D23,Controlled Drugs and Substances Act,Other,12
21160,2014,D23,Controlled Drugs and Substances Act,Other,17
21439,2014,D22,Controlled Drugs and Substances Act,Other,10
21441,2014,D43,Controlled Drugs and Substances Act,Other,6
21532,2014,D31,Controlled Drugs and Substances Act,Other,20
21957,2014,D12,Controlled Drugs and Substances Act,Other,11
21981,2014,D33,Controlled Drugs and Substances Act,Other,1
22204,2014,D52,Controlled Drugs and Substances Act,Other,48
22244,2014,D41,Controlled Drugs and Substances Act,Other,42
22334,2014,D42,Controlled Drugs and Substances Act,Other,1
22638,2014,D53,Controlled Drugs and Substances Act,Other,12
22825,2014,D14,Controlled Drugs and Substances Act,Other,21
22955,2014,D13,Controlled Drugs and Substances Act,Other,12
23013,2014,D51,Controlled Drugs and Substances Act,Other,76
23038,2014,D42,Controlled Drugs and Substances Act,Other,16
23200,2014,D53,Controlled Drugs and Substances Act,Other,23
23416,2014,D12,Controlled Drugs and Substances Act,Other,13
23790,2014,D12,Controlled Drugs and Substances Act,Other,52
23820,2014,D41,Controlled Drugs and Substances Act,Other,7
23887,2014,D53,Controlled Drugs and Substances Act,Other,9
24477,2014,D55,Controlled Drugs and Substances Act,Other,3
24542,2014,D33,Controlled Drugs and Substances Act,Other,11
24625,2014,D43,Controlled Drugs and Substances Act,Other,10
24689,2014,D13,Controlled Drugs and Substances Act,Other,1
24694,2014,D52,Controlled Drugs and Substances Act,Other,3
24730,2014,D33,Controlled Drugs and Substances Act,Other,25
24765,2014,D12,Controlled Drugs and Substances Act,Other,13
24839,2014,D52,Controlled Drugs and Substances Act,Other,13
25016,2014,D41,Controlled Drugs and Substances Act,Other,1
25104,2014,D42,Controlled Drugs and Substances Act,Other,27
25228,2014,D55,Controlled Drugs and Substances Act,Other,45
25305,2014,D43,Controlled Drugs and Substances Act,Other,33
25387,2014,D11,Controlled Drugs and Substances Act,Other,11
25444,2014,D53,Controlled Drugs and Substances Act,Other,1
25538,2014,D14,Controlled Drugs and Substances Act,Other,34
25742,2014,D22,Controlled Drugs and Substances Act,Other,15
25780,2014,D31,Controlled Drugs and Substances Act,Other,5
25842,2014,D14,Controlled Drugs and Substances Act,Other,39
26060,2014,D52,Controlled Drugs and Substances Act,Other,68
26805,2014,D22,Controlled Drugs and Substances Act,Other,34
26948,2014,D32,Controlled Drugs and Substances Act,Other,5
26991,2014,D22,Controlled Drugs and Substances Act,Other,11
27123,2014,D32,Controlled Drugs and Substances Act,Other,2
27779,2014,D31,Controlled Drugs and Substances Act,Other,7
27971,2014,D51,Controlled Drugs and Substances Act,Other,11
28459,2014,D32,Controlled Drugs and Substances Act,Other,10
28468,2014,D13,Controlled Drugs and Substances Act,Other,23
28482,2014,D41,Controlled Drugs and Substances Act,Other,4
28516,2014,D43,Controlled Drugs and Substances Act,Other,31
28567,2014,D12,Controlled Drugs and Substances Act,Other,42
28744,2014,D55,Controlled Drugs and Substances Act,Other,37
28799,2014,D31,Controlled Drugs and Substances Act,Other,64
28864,2014,D33,Controlled Drugs and Substances Act,Other,6
29283,2014,D55,Controlled Drugs and Substances Act,Other,81
29294,2014,D51,Controlled Drugs and Substances Act,Other,37
29327,2014,D11,Controlled Drugs and Substances Act,Other,6
29438,2014,D43,Controlled Drugs and Substances Act,Other,4
29759,2014,D55,Controlled Drugs and Substances Act,Other,54
29848,2014,D23,Controlled Drugs and Substances Act,Other,10
29940,2014,D23,Controlled Drugs and Substances Act,Other,55
30146,2014,D53,Controlled Drugs and Substances Act,Other,5
30214,2014,D33,Controlled Drugs and Substances Act,Other,4
30307,2014,D13,Controlled Drugs and Substances Act,Other,5
30475,2014,D14,Controlled Drugs and Substances Act,Other,22
30682,2014,D22,Controlled Drugs and Substances Act,Other,4
30752,2014,D32,Controlled Drugs and Substances Act,Other,12
30832,2014,D55,Controlled Drugs and Substances Act,Other,8
30883,2014,D31,Controlled Drugs and Substances Act,Other,12
31010,2014,D43,Controlled Drugs and Substances Act,Other,13
31204,2014,D41,Controlled Drugs and Substances Act,Other,9
31328,2014,D53,Controlled Drugs and Substances Act,Other,1
31465,2014,D33,Controlled Drugs and Substances Act,Other,3
31545,2014,D14,Controlled Drugs and Substances Act,Other,12
31645,2014,D55,Controlled Drugs and Substances Act,Other,26
31932,2014,D23,Controlled Drugs and Substances Act,Other,24
5693,2015,D12,Controlled Drugs and Substances Act,Other,40
5880,2015,D53,Controlled Drugs and Substances Act,Other,5
5888,2015,D11,Controlled Drugs and Substances Act,Other,3
5904,2015,D32,Controlled Drugs and Substances Act,Other,6
5965,2015,D42,Controlled Drugs and Substances Act,Other,4
6693,2015,D32,Controlled Drugs and Substances Act,Other,2
6876,2015,D41,Controlled Drugs and Substances Act,Other,12
7025,2015,D43,Controlled Drugs and Substances Act,Other,13
7069,2015,D22,Controlled Drugs and Substances Act,Other,2
7100,2015,D32,Controlled Drugs and Substances Act,Other,4
7135,2015,D23,Controlled Drugs and Substances Act,Other,4
7206,2015,D12,Controlled Drugs and Substances Act,Other,8
7586,2015,NSA,Controlled Drugs and Substances Act,Other,1
7596,2015,D41,Controlled Drugs and Substances Act,Other,45
7599,2015,D23,Controlled Drugs and Substances Act,Other,1
7744,2015,D33,Controlled Drugs and Substances Act,Other,2
7921,2015,D51,Controlled Drugs and Substances Act,Other,53
7954,2015,D23,Controlled Drugs and Substances Act,Other,1
8228,2015,D11,Controlled Drugs and Substances Act,Other,7
8365,2015,D14,Controlled Drugs and Substances Act,Other,14
8436,2015,D33,Controlled Drugs and Substances Act,Other,4
8472,2015,D51,Controlled Drugs and Substances Act,Other,16
8520,2015,D13,Controlled Drugs and Substances Act,Other,2
8646,2015,D14,Controlled Drugs and Substances Act,Other,5
8773,2015,D33,Controlled Drugs and Substances Act,Other,6
8798,2015,D55,Controlled Drugs and Substances Act,Other,11
8941,2015,D22,Controlled Drugs and Substances Act,Other,1
9103,2015,D41,Controlled Drugs and Substances Act,Other,43
9178,2015,D53,Controlled Drugs and Substances Act,Other,17
9263,2015,D33,Controlled Drugs and Substances Act,Other,33
9549,2015,D33,Controlled Drugs and Substances Act,Other,4
9591,2015,D43,Controlled Drugs and Substances Act,Other,1
9833,2015,D43,Controlled Drugs and Substances Act,Other,32
9960,2015,D52,Controlled Drugs and Substances Act,Other,14
9971,2015,D53,Controlled Drugs and Substances Act,Other,1
